id,title,author,era,content,type,source
11,蜀道难,佚名,李白〔唐代〕,噫吁嚱，危乎高哉！ 蜀道之难，难于上青天！ 蚕丛及鱼凫，开国何茫然！ 尔来四万八千岁，不与秦塞通人烟。 西当太白有鸟道，可以横绝峨眉巅。 地崩山摧壮士死，然后天梯石栈相钩连。 上有六龙回日之高标，下有冲波逆折之回川。 黄鹤之飞尚不得过，猿猱欲度愁攀援。 青泥何盘盘，百步九折萦岩峦。 扪参历井仰胁息，以手抚膺坐长叹。 问君西游何时还？畏途巉岩不可攀。 但见悲鸟号古木，雄飞雌从绕林间。 又闻子规啼夜月，愁空山。 蜀道之难，难于上青天，使人听此凋朱颜！ 连峰去天不盈尺，枯松倒挂倚绝壁。 飞湍瀑流争喧豗，砯崖转石万壑雷。 其险也如此，嗟尔远道之人胡为乎来哉！(也如此 一作：也若此) 剑阁峥嵘而崔嵬，一夫当关，万夫莫开。 所守或匪亲，化为狼与豺。 朝避猛虎，夕避长蛇，磨牙吮血，杀人如麻。 锦城虽云乐，不如早还家。 蜀道之难，难于上青天，侧身西望长咨嗟！,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
12,满江红·送李正之提刑入蜀,佚名,蜀道 或指《满江红·送李正之提刑入蜀》,蜀道登天，一杯送、绣衣行客。还自叹、中年多病，不堪离别。东北看惊诸葛表，西南更草相如檄。把功名、收拾付君侯，如椽笔。 儿女泪，君休滴。荆楚路，吾能说。要新诗准备，庐山山色。赤壁矶头千古浪，铜鞮陌上三更月。正梅花、万里雪深时，须相忆。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
13,蜀道后期,佚名,张说〔唐代〕,客心争日月，来往预期程。 秋风不相待，先至洛阳城。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
14,蜀道难·其二,佚名,萧纲〔南北朝〕,巫山七百里，巴水三回曲。 笛声下复高，猿啼断还续。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
15,蜀道难·其一,佚名,萧纲〔南北朝〕,建平督邮道，鱼复永安宫。 若奏巴渝曲，时当君思中。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
16,上皇西巡南京歌十首·其八,佚名,蜀道 或指《上皇西巡南京歌十首·其八》,秦开蜀道置金牛，汉水元通星汉流。 天子一行遗圣迹，锦城长作帝王州。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
17,过蜀道山,佚名,张说〔唐代〕,我行春三月，山中百花开。 披林入峭蒨，攀磴陟崔嵬。 白云半峰起，清江出峡来。 谁知高深意，缅邈心幽哉。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
18,蟾宫曲·怀古,佚名,查德卿〔元代〕,问从来谁是英雄？一个农夫，一个渔翁。晦迹南阳，栖身东海，一举成功。八阵图名成卧龙，六韬书功在飞熊。霸业成空，遗恨无穷。蜀道寒云，渭水秋风。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
19,普天乐·秋怀,佚名,张可久〔元代〕,为谁忙，莫非命。西风驿马。落月书灯。青天蜀道难，红叶吴江冷。两字功名频看镜，不饶人白发星星。钓鱼子陵，思莼季鹰，笑我飘零。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
20,鹧鸪天·谁伴闲人闲处闲,佚名,段成己〔金朝〕,谁伴闲人闲处闲。梅花枝上月团团。陶潜自爱吾庐好，李白休歌蜀道难。 林壑静，水云宽。十年无梦到长安。五更门外霜风恶，千尺青松傲岁寒。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%9C%80%E9%81%93&page=1
21,玄都坛歌寄元逸人,佚名,杜甫〔唐代〕,故人昔隐东蒙峰，已佩含景苍精龙。 故人今居子午谷，独在阴崖结茅屋。 屋前太古玄都坛，青石漠漠常风寒。 子规夜啼山竹裂，王母昼下云旗翻。 知君此计成长往，芝草琅玕日应长。 铁锁高垂不可攀，致身福地何萧爽。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
22,子午谷,佚名,王云凤〔明代〕,马前铜笛转山频，树底行沿汉水滨。又喜晚炊来子午，曾经春雨忆庚申。 采茶调急穿林女，放濑声高荡桨人。何事妖容千载恨，拂衣犹有荔枝尘。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
23,郑蒙泉炼师子午谷图,佚名,郯韶〔元代〕,子真今住子午谷，乃在蛟门西复西。 绕屋长松落晴雪，倚天绝壁立丹梯。 春回大壑三芝秀，月满空山一鹤栖。 归去看图望瀛海，定应沐发候天鸡。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
24,小筑,佚名,陆游〔宋代〕,小筑湖边避俗嚣，几年于此寓箪瓢。 虽非隐士子午谷，宁媿诗人丁卯桥？罗雀门庭无俗驾，缘云磴路有归樵。 诗情酒兴常相属，堪笑傍人说寂寥。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
25,行路难,佚名,乃贤〔元代〕,行路难，难行路，黄榆萧萧白杨暮。枪竿岭上积雪高，龙门峡里秋涛怒。 嵯峨虎豹当大关，苍崖壁立登天难。千车朝从赤日发，万马夜向西风还。 鉴湖酒船苦不早，辽东白鹤归华表。夜雨空阶碧草深，落花满院行人少。 世情翻覆如秋云，誓天歃血徒纷纷。洛阳争迎苏季子，淮阴谁识韩将军。 行路难，难行路，白头总被功名误。高楼昨夜歌舞人，丹旌晓出东门去。 子午谷，终南山，青松草屋相对閒。拂衣高歌上绝顶，请看人间行路难。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
26,和史魏公荔枝韵,佚名,释宝昙〔宋代〕,炎州草木诚可怜，荔枝六月生蛮烟。 瞿聃不出盛明世，星斗一粲黄昏天。 憧憧翠盖下平地，井井绛帻罗群仙。 囊封白玉倍晶莹，手挹甘露加清圆。 槟榔却误染猩血，末利更欲薰龙钱。 可人风味自不恶，动地身价来何年。 杨梅卢橘定臣妾，河豚瑶柱微芳鲜。 故家奕世富青紫，石蜜一味忘中边。 传闻火山考下下，似隔秋水馀娟娟。 南人儿时解评品，递补各老去空流涎。 红尘一骑烦笑粲，黄屋万里惊回旋。 豺狼不厌林甫肉，海岳空带胡儿膻。 交州驿置馀毒在，洛阳花事相珠连。 吾曹岂不识天意，尤物自是生海壖。 长安道近子午谷，闽粤岁驾东南船。 色香味变只三日，风马牛奔须数千。 只今上方亦玉食，不忍束帛疲民编。 冰盘恰恰荐亲寿，頳汗纳纳愁夫肩。 秋来衔子定鸿鹄，日莫得饱同乌鸢。 锦衾何必卷还客，我自与汝心安然。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
27,句,佚名,叶梦得〔宋代〕,逸人旧住子午谷，诗客独寻丁卯桥。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
28,玉山佳处,佚名,郭翼〔元代〕,爱汝西庄给事家，绕屋山石何谽谺。截江秀色发林壑，平地玉气贯虹霞。 佳处如居子午谷，望中开遍冬春华。夜深酒醒月在海，应有仙人来系槎。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
29,题南溪萧氏山水小景,佚名,李昌祺〔明代〕,西昌有士生名宗，孤高格调冰雪容。性惟爱山复爱画，画里坐对青芙蓉。 乍观尺素杳难辨，野色川气相溟濛。初疑为巫峡，列此十二峰，雨馀轻黛增鲜浓。 阳台神女彷佛精灵通，楚襄之梦恍惚当谁穷。沐猿涧鹿悄无迹，千岩万壑烟霏笼。 又疑是匡庐五老排层穹，乃在彭蠡之北、盆江之东。 凉影倒浸波溶溶，飞英乱舞垂萝风。吾家翰苑老供奉，揽秀绝顶巢云松。 锦袍骑鲸乘月径返蓬莱宫，开元诸子莫追逐。吐句尽如仙语真，孤雄仍闻夙昔读。 书处氤氲竟日丹，霞封胡君特来索。我赋笑迎起抑揩，昏瞳便令挂壁着。 意看其间景象既弗类，运思落笔俱凡庸。僧繇久逝范宽没，海岳亦往庵居空。 南溪别有奇绝地，春深绿与耶溪同。杰构隐映苍桧中，二三好客劳过从，酒醅旋压黄粱舂。 幽非桃花源，邃异子午谷，土美俗朴堪耕农。罕曾袖刺谒时贵，屡尝含哺歌年丰。 我欲携焦桐，飘然谢尘踪。汲泉采蕨疗饥渴，净扫白石弹秋鸿。 如何病兀絷双足，谩令清兴蟠心胸。挥毫写罢付君去，殷勤寄示兰陵翁。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
30,乐清轩十律为乡友沙士清 其三,佚名,倪岳〔明代〕,垂肩短发晚萧萧，惟有琴樽伴寂寥。隐君旧爱子午谷，诗客今居丁卯桥。 山中白屋真成趣，天上青云不可招。高卧日长非为懒，出门十步即尘嚣。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=1
31,玄都坛歌寄元逸人,佚名,杜甫〔唐代〕,故人昔隐东蒙峰，已佩含景苍精龙。 故人今居子午谷，独在阴崖结茅屋。 屋前太古玄都坛，青石漠漠常风寒。 子规夜啼山竹裂，王母昼下云旗翻。 知君此计成长往，芝草琅玕日应长。 铁锁高垂不可攀，致身福地何萧爽。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
32,子午谷,佚名,王云凤〔明代〕,马前铜笛转山频，树底行沿汉水滨。又喜晚炊来子午，曾经春雨忆庚申。 采茶调急穿林女，放濑声高荡桨人。何事妖容千载恨，拂衣犹有荔枝尘。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
33,郑蒙泉炼师子午谷图,佚名,郯韶〔元代〕,子真今住子午谷，乃在蛟门西复西。 绕屋长松落晴雪，倚天绝壁立丹梯。 春回大壑三芝秀，月满空山一鹤栖。 归去看图望瀛海，定应沐发候天鸡。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
34,小筑,佚名,陆游〔宋代〕,小筑湖边避俗嚣，几年于此寓箪瓢。 虽非隐士子午谷，宁媿诗人丁卯桥？罗雀门庭无俗驾，缘云磴路有归樵。 诗情酒兴常相属，堪笑傍人说寂寥。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
35,行路难,佚名,乃贤〔元代〕,行路难，难行路，黄榆萧萧白杨暮。枪竿岭上积雪高，龙门峡里秋涛怒。 嵯峨虎豹当大关，苍崖壁立登天难。千车朝从赤日发，万马夜向西风还。 鉴湖酒船苦不早，辽东白鹤归华表。夜雨空阶碧草深，落花满院行人少。 世情翻覆如秋云，誓天歃血徒纷纷。洛阳争迎苏季子，淮阴谁识韩将军。 行路难，难行路，白头总被功名误。高楼昨夜歌舞人，丹旌晓出东门去。 子午谷，终南山，青松草屋相对閒。拂衣高歌上绝顶，请看人间行路难。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
36,和史魏公荔枝韵,佚名,释宝昙〔宋代〕,炎州草木诚可怜，荔枝六月生蛮烟。 瞿聃不出盛明世，星斗一粲黄昏天。 憧憧翠盖下平地，井井绛帻罗群仙。 囊封白玉倍晶莹，手挹甘露加清圆。 槟榔却误染猩血，末利更欲薰龙钱。 可人风味自不恶，动地身价来何年。 杨梅卢橘定臣妾，河豚瑶柱微芳鲜。 故家奕世富青紫，石蜜一味忘中边。 传闻火山考下下，似隔秋水馀娟娟。 南人儿时解评品，递补各老去空流涎。 红尘一骑烦笑粲，黄屋万里惊回旋。 豺狼不厌林甫肉，海岳空带胡儿膻。 交州驿置馀毒在，洛阳花事相珠连。 吾曹岂不识天意，尤物自是生海壖。 长安道近子午谷，闽粤岁驾东南船。 色香味变只三日，风马牛奔须数千。 只今上方亦玉食，不忍束帛疲民编。 冰盘恰恰荐亲寿，頳汗纳纳愁夫肩。 秋来衔子定鸿鹄，日莫得饱同乌鸢。 锦衾何必卷还客，我自与汝心安然。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
37,句,佚名,叶梦得〔宋代〕,逸人旧住子午谷，诗客独寻丁卯桥。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
38,玉山佳处,佚名,郭翼〔元代〕,爱汝西庄给事家，绕屋山石何谽谺。截江秀色发林壑，平地玉气贯虹霞。 佳处如居子午谷，望中开遍冬春华。夜深酒醒月在海，应有仙人来系槎。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
39,题南溪萧氏山水小景,佚名,李昌祺〔明代〕,西昌有士生名宗，孤高格调冰雪容。性惟爱山复爱画，画里坐对青芙蓉。 乍观尺素杳难辨，野色川气相溟濛。初疑为巫峡，列此十二峰，雨馀轻黛增鲜浓。 阳台神女彷佛精灵通，楚襄之梦恍惚当谁穷。沐猿涧鹿悄无迹，千岩万壑烟霏笼。 又疑是匡庐五老排层穹，乃在彭蠡之北、盆江之东。 凉影倒浸波溶溶，飞英乱舞垂萝风。吾家翰苑老供奉，揽秀绝顶巢云松。 锦袍骑鲸乘月径返蓬莱宫，开元诸子莫追逐。吐句尽如仙语真，孤雄仍闻夙昔读。 书处氤氲竟日丹，霞封胡君特来索。我赋笑迎起抑揩，昏瞳便令挂壁着。 意看其间景象既弗类，运思落笔俱凡庸。僧繇久逝范宽没，海岳亦往庵居空。 南溪别有奇绝地，春深绿与耶溪同。杰构隐映苍桧中，二三好客劳过从，酒醅旋压黄粱舂。 幽非桃花源，邃异子午谷，土美俗朴堪耕农。罕曾袖刺谒时贵，屡尝含哺歌年丰。 我欲携焦桐，飘然谢尘踪。汲泉采蕨疗饥渴，净扫白石弹秋鸿。 如何病兀絷双足，谩令清兴蟠心胸。挥毫写罢付君去，殷勤寄示兰陵翁。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
40,乐清轩十律为乡友沙士清 其三,佚名,倪岳〔明代〕,垂肩短发晚萧萧，惟有琴樽伴寂寥。隐君旧爱子午谷，诗客今居丁卯桥。 山中白屋真成趣，天上青云不可招。高卧日长非为懒，出门十步即尘嚣。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=2
41,玄都坛歌寄元逸人,佚名,杜甫〔唐代〕,故人昔隐东蒙峰，已佩含景苍精龙。 故人今居子午谷，独在阴崖结茅屋。 屋前太古玄都坛，青石漠漠常风寒。 子规夜啼山竹裂，王母昼下云旗翻。 知君此计成长往，芝草琅玕日应长。 铁锁高垂不可攀，致身福地何萧爽。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
42,子午谷,佚名,王云凤〔明代〕,马前铜笛转山频，树底行沿汉水滨。又喜晚炊来子午，曾经春雨忆庚申。 采茶调急穿林女，放濑声高荡桨人。何事妖容千载恨，拂衣犹有荔枝尘。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
43,郑蒙泉炼师子午谷图,佚名,郯韶〔元代〕,子真今住子午谷，乃在蛟门西复西。 绕屋长松落晴雪，倚天绝壁立丹梯。 春回大壑三芝秀，月满空山一鹤栖。 归去看图望瀛海，定应沐发候天鸡。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
44,小筑,佚名,陆游〔宋代〕,小筑湖边避俗嚣，几年于此寓箪瓢。 虽非隐士子午谷，宁媿诗人丁卯桥？罗雀门庭无俗驾，缘云磴路有归樵。 诗情酒兴常相属，堪笑傍人说寂寥。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
45,行路难,佚名,乃贤〔元代〕,行路难，难行路，黄榆萧萧白杨暮。枪竿岭上积雪高，龙门峡里秋涛怒。 嵯峨虎豹当大关，苍崖壁立登天难。千车朝从赤日发，万马夜向西风还。 鉴湖酒船苦不早，辽东白鹤归华表。夜雨空阶碧草深，落花满院行人少。 世情翻覆如秋云，誓天歃血徒纷纷。洛阳争迎苏季子，淮阴谁识韩将军。 行路难，难行路，白头总被功名误。高楼昨夜歌舞人，丹旌晓出东门去。 子午谷，终南山，青松草屋相对閒。拂衣高歌上绝顶，请看人间行路难。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
46,和史魏公荔枝韵,佚名,释宝昙〔宋代〕,炎州草木诚可怜，荔枝六月生蛮烟。 瞿聃不出盛明世，星斗一粲黄昏天。 憧憧翠盖下平地，井井绛帻罗群仙。 囊封白玉倍晶莹，手挹甘露加清圆。 槟榔却误染猩血，末利更欲薰龙钱。 可人风味自不恶，动地身价来何年。 杨梅卢橘定臣妾，河豚瑶柱微芳鲜。 故家奕世富青紫，石蜜一味忘中边。 传闻火山考下下，似隔秋水馀娟娟。 南人儿时解评品，递补各老去空流涎。 红尘一骑烦笑粲，黄屋万里惊回旋。 豺狼不厌林甫肉，海岳空带胡儿膻。 交州驿置馀毒在，洛阳花事相珠连。 吾曹岂不识天意，尤物自是生海壖。 长安道近子午谷，闽粤岁驾东南船。 色香味变只三日，风马牛奔须数千。 只今上方亦玉食，不忍束帛疲民编。 冰盘恰恰荐亲寿，頳汗纳纳愁夫肩。 秋来衔子定鸿鹄，日莫得饱同乌鸢。 锦衾何必卷还客，我自与汝心安然。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
47,句,佚名,叶梦得〔宋代〕,逸人旧住子午谷，诗客独寻丁卯桥。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
48,玉山佳处,佚名,郭翼〔元代〕,爱汝西庄给事家，绕屋山石何谽谺。截江秀色发林壑，平地玉气贯虹霞。 佳处如居子午谷，望中开遍冬春华。夜深酒醒月在海，应有仙人来系槎。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
49,题南溪萧氏山水小景,佚名,李昌祺〔明代〕,西昌有士生名宗，孤高格调冰雪容。性惟爱山复爱画，画里坐对青芙蓉。 乍观尺素杳难辨，野色川气相溟濛。初疑为巫峡，列此十二峰，雨馀轻黛增鲜浓。 阳台神女彷佛精灵通，楚襄之梦恍惚当谁穷。沐猿涧鹿悄无迹，千岩万壑烟霏笼。 又疑是匡庐五老排层穹，乃在彭蠡之北、盆江之东。 凉影倒浸波溶溶，飞英乱舞垂萝风。吾家翰苑老供奉，揽秀绝顶巢云松。 锦袍骑鲸乘月径返蓬莱宫，开元诸子莫追逐。吐句尽如仙语真，孤雄仍闻夙昔读。 书处氤氲竟日丹，霞封胡君特来索。我赋笑迎起抑揩，昏瞳便令挂壁着。 意看其间景象既弗类，运思落笔俱凡庸。僧繇久逝范宽没，海岳亦往庵居空。 南溪别有奇绝地，春深绿与耶溪同。杰构隐映苍桧中，二三好客劳过从，酒醅旋压黄粱舂。 幽非桃花源，邃异子午谷，土美俗朴堪耕农。罕曾袖刺谒时贵，屡尝含哺歌年丰。 我欲携焦桐，飘然谢尘踪。汲泉采蕨疗饥渴，净扫白石弹秋鸿。 如何病兀絷双足，谩令清兴蟠心胸。挥毫写罢付君去，殷勤寄示兰陵翁。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
50,乐清轩十律为乡友沙士清 其三,佚名,倪岳〔明代〕,垂肩短发晚萧萧，惟有琴樽伴寂寥。隐君旧爱子午谷，诗客今居丁卯桥。 山中白屋真成趣，天上青云不可招。高卧日长非为懒，出门十步即尘嚣。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%AD%90%E5%8D%88%E8%B0%B7&page=3
51,过华清宫绝句三首,佚名,杜牧〔唐代〕,长安回望绣成堆，山顶千门次第开。 一骑红尘妃子笑，无人知是荔枝来。 新丰绿树起黄埃，数骑渔阳探使回。 霓裳一曲千峰上，舞破中原始下来。 万国笙歌醉太平，倚天楼殿月分明。 云中乱拍禄山舞，风过重峦下笑声。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%A6%83%E5%AD%90%E7%AC%91&page=1
52,过华清宫绝句三首·其一,佚名,杜牧〔唐代〕,长安回望绣成堆，山顶千门次第开。 一骑红尘妃子笑，无人知是荔枝来。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%A6%83%E5%AD%90%E7%AC%91&page=1
53,四月十一日初食荔支,佚名,苏轼〔宋代〕,南村诸杨北村卢，白华青叶冬不枯。 垂黄缀紫烟雨里，特与荔枝为先驱。 海山仙人绛罗襦，红纱中单白玉肤。 不须更待妃子笑，风骨自是倾城姝。 不知天公有意无，遣此尤物生海隅。 云山得伴松桧老，霜雪自困楂梨粗。 先生洗盏酌桂醑，冰盘荐此赪虬珠。 似闻江鳐斫玉柱，更洗河豚烹腹腴。 我生涉世本为口，一官久已轻莼鲈。 人间何者非梦幻，南来万里真良图。,诗歌,https://www.guwendao.net/search.aspx?value=%E5%A6%83%E5%AD%90%E7%AC%91&page=1
