id,name,lat,lng,type,desc,image
1,长寿,29.9569160,107.1353750,古道南段途经的重要节点,据《元和郡县志》等记载，唐代乐温县盛产荔枝且品质极佳，是天宝年间贡荔的核心来源地，境内有“妃子园”贡荔遗址。境内发现的清光绪年间指路碑，明确标注“下走涪州”，与周边遗迹构成完整证据链，实证其为荔枝道南段重要节点，是古道贡荔历史与交通脉络的核心实物载体。,1.jpg
2,垫江,30.2592560,107.4322540,荔枝古道首县,垫江境内荔枝道长约70-80公里，两条支线在此汇并入夔巴古道，是涪陵、长寿荔枝运往长安的必经之地。境内留存桂溪唐宋城址等遗存，出土纪年瓦、瓷片等文物，印证其交通要冲地位。它曾催生多个场镇，见证唐代贡荔快运与明清商贸繁华，是荔枝道线路传承与功能演变的重要实物载体。,2.jpg
3,梁平,30.6609362,107.7171841,荔枝道重庆段核心节点,梁平地处荔枝道涪陵至达州的必经之路，唐代为贡荔快运提供驿站支撑，南宋赤牛城遗址为同期沿线军事防御设施，与古道交通功能互补。明清时，这里因盐茶桐油贸易催生“腰店”，马道子遗址的驿站兼具住宿仓储功能，见证古道商贸繁华，是荔枝道功能演变与治理智慧的重要载体。,3.jpg
4,开江,31.0461763,107.8897693,陆路节点,唐代为新宁县，是荔枝道从梁平进入四川后，经达州前往宣汉的重要站点，连接不同区域，保证荔枝运输路线的畅通。,4.jpg
5,宣汉,31.5163620,107.8850210,荔枝道穿越大巴山的关键要冲,宣汉地处荔枝道川陕段核心，是古道从达州通往万源、穿越巴山的必经之地。境内留存大量清代石刻墓坊，含“二十四孝”等戏曲雕饰，印证清代移民孝善文化与宗族认同。同时，宣汉丁木沟修路碑记载 “以商养路” 模式，见证官民协同治理智慧，其古道遗迹与文化遗存，是荔枝道交通功能与文化传承的重要实物佐证。,5.jpg
6,万源,31.9936317,108.0137962,秦巴山区关口,荔枝道穿越巴山（今米仓山）的关键区域，山高路险，为入陕前哨，在荔枝运输中起到关键中转作用，加快运输速度。,6.jpg
7,镇巴,32.5384616,107.8911325,连接陕川的交通枢纽与多文化融合的见证地,镇巴位于陕西南端，境内荔枝道又称“小巴间道”，全长约 230 公里，是荔枝道从西乡通往万源的必经之路。唐时广设驿站，为荔枝快运提供关键支撑，明清再度成为川陕要道，见证盐茶等物资贸易繁华。这里留存拴马岭等遗迹，融合荆楚、巴蜀与中原文化，是古道交通功能与文化交融的重要实物载体。,7.jpg
8,西乡,32.99,107.77,水陆转换与连接点,唐代荔枝可能经子午河至此，或经陆路抵此，子午镇是荔枝道与子午道的关键连接点，在荔枝运输中起到关键中转作用，加快运输速度。,8.jpg
9,子午道,34.06,108.91,最终连接通道,荔枝道在西乡子午镇接入子午道北段，利用此道最后跨越秦岭，抵达长安（西安），帮助荔枝最终送达目的地，完成进贡使命。,9.jpg
10,达州,31.3451150,107.6506830,古道形制保存与历史遗存的集中区域,达州地处荔枝道川陕段要冲，是古道从四川万源进入重庆涪陵的必经之地，唐代“达涪道”主体路段贯穿其境。境内留存北宋高观音岩摩崖造像等关键遗存，其明确纪年为考证古道走向提供了重要依据。作为川陕物资转运枢纽，这里曾见证盐茶贸易与荔枝快运的繁华，现存古道遗迹、石刻等，是荔枝道交通功能与文化传承的重要实物载体。,10.jpg
11,大巴山脉,31.82,109.02,地貌单元,大巴山脉位于中国西部，是中国陕西、四川、湖北三省交界地区山地的总称。东西绵延500多公里，故称千里巴山，简称巴山。同时也是嘉陵江和汉江的分水岭，四川盆地和汉中盆地的地理界线。大巴山脉是荔枝道穿行的主重要山脉，地势险峻，古道沿山谷分布,11.jpg
12,罗家坝遗址,31.54,115.9681445,文化遗址,位于四川省达州市宣汉县普光镇进化村，地处秦、楚、巴、蜀文化交界处，距今有5300年历史，1999年首次发掘了涵盖东汉、西汉、周、商、夏、新石器时代晚期的文化堆积非常深厚的巴人文化遗址。2000年，考古发掘被评为“1999年四川省十大文物工作成果”。2001年6月，被国务院核定为第五批全国重点文物保护单位。,12.jpg
13,鹰背乡,31.7076907,107.77,文化古迹分布区,万源市鹰背乡是重要的文化古迹分布区。鹰背乡瓦子坪村自20世纪70年代以来，多次发现新石器时代的磨制石器——石斧、石凿、石刀，说明大巴山早在石器时代就是人类重要的聚居区。鹰背乡境内现存崖墓500余座，悬棺20余挂，石棺墓800余座，极具人文研究价值。,13.jpg
14,浪洋寺,28.6129770,93.1126587,古寺庙,浪洋寺地处宣汉县马渡关镇，该寺摩崖造像建于唐咸通十二年（871）。寺庙初名大慈寺，明弘治九年（1496）改名浪洋寺，后经两次大修，在民国毁于火灾。寺庙虽毁，但造像保存较为完好，雕工细腻，形神兼备，具有极高的艺术价值和研究价值，而两通刻于宋代的碑文题记，更是研究宋代书法艺术的“活化石”。,14.jpg
15,三丛山寺,31.71,107.540,古寺庙,三丛山寺位于万源市鹰背乡三丛山。自唐代至清朝中期，三丛山建有寺庙群，规模宏大，为川东名刹。据传，明初建文帝朱允炆曾避难于三丛山寺及其下院望京寺。三丛山寺藏经洞内曾经珍藏唐朝至明清各代高僧手写佛经典籍3000多册，手写本大部分被毁。原藏于三丛山寺正殿的紫檀木雕佛屏、宋代黄杨木罗盘和“佛法僧宝”铜印，被誉为“三丛三宝”。,15.jpg
16,秦河乡三官场村,31.82,107.62,古民居群,位于万源市，是荔枝古道沿线古民居群的典型代表。三官场村古民居约占全村建筑的八成，四合院结构成群聚集，配堂屋、吊脚楼、窗花、磉墩等，属典型的川东特色民居。其中，荔枝古道沿线核心区四平方公里内，有保存较好的古建筑三合院、四合院40余套，聚居院落有大屋基、库楼弯、李家河三处。,16.jpg
17,玉带乡太平坎村,31.93,107.540,古民居群、古驿站,位于万源市，是荔枝古道上的一处重要驿站，现有穿斗木结构院落98套，依山而建，错落有致，其中明清建筑88套，具有丰富的历史文化价值，被誉为“川东民居博物馆”。,17.jpg
18,苏家岩,31.91,107.64,地貌单元、茶文化遗址,万源市石窝镇古社坪村苏家岩存有几十株千年老茶桩。苏家岩石壁上有近千年历史的记载茶事文化的《紫云坪植茗灵园记》摩崖石刻刻确凿记载了王雅、王敏父子从福建武夷山移植茶苗到万源种植的始末，是我国迄今保存最完好、记载种茶活动年代最早的石刻文字资料，极为罕见，弥足珍贵。对于我国茶史的研究极具重要的史料价值。,18.jpg
